test_id,title,area,verdict,error_type,attribution,device_steps,states_visited,distinct_states,duration_s,requirement_ids,route,error_message,created_at
TC-001,Verify no partial animal record is created when abandoning the multi-step registration flow midway,,failed,NAVIGATION_LIVELOCK,agent,19,19,6,207.8,,সবার খামার -> আবার স্বাগতম -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল,,2026-08-30T14:56:10.305397+00:00
TC-002,"Verify cattle type, sub-type and breed selection flow completes without livelock",,pass,,pass,38,39,11,539.2,,বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Seller Tester -> খামারের তথ্য আপডেট -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> স্ক্রিম -> গবাদিপশু যোগ করুন -> গরু -> গবাদিপশু যোগ করুন -> ষাঁড় -> গবাদিপশু যোগ করুন -> গবাদিপশু যোগ করুন #2 -> জার্সি -> গবাদিপশু যোগ করুন #2 -> গবাদিপশু যোগ করুন #3,,2026-08-30T15:05:40.712187+00:00
TC-003,Verify chat inbox displays empty state or error when no conversations exist,,pass,,pass,8,8,7,135.3,,গবাদিপশু যোগ করুন #3 -> গবাদিপশু যোগ করুন #2 -> Test Farm Update -> বিক্রেতার প্রোফাইল #2 -> সবার খামার #2 -> Trust Dairy Farm -> চ্যাট,,2026-08-30T15:08:18.257749+00:00
TC-004,Verify additional animal attributes are correctly captured and displayed on the listing after registration,,failed,CRASH,app,38,38,14,900.2,,চ্যাট -> Trust Dairy Farm -> আমার গবাদিপশু -> Trust Dairy Farm -> স্ক্রিম -> গবাদিপশু যোগ করুন -> Screen -> সবার খামার #2 -> Trust Dairy Farm -> স্ক্রিম -> গবাদিপশু যোগ করুন -> গরু -> গবাদিপশু যোগ করুন -> ষাঁড় -> গবাদিপশু যোগ করুন -> গবাদিপশু যোগ করুন #2 -> জার্সি -> গবাদিপশু যোগ করুন #2 -> গবাদিপশু যোগ করুন #3 -> সাদা -> গবাদিপশু যোগ করুন #3 -> ১০ -> গবাদিপশু যোগ করুন #3,,2026-08-30T15:23:49.078612+00:00
TC-005,Verify mandatory field validation errors are specific when submitting incomplete farm update,,failed,NAVIGATION_LIVELOCK,agent,40,40,6,480.0,,গবাদিপশু যোগ করুন #3 -> গবাদিপশু যোগ করুন #2 -> Test Farm Update -> বিক্রেতার প্রোফাইল #2 -> Seller Tester #2 -> খামারের তথ্য আপডেট #2 -> বিক্রেতার প্রোফাইল #2 -> Seller Tester #2 -> খামারের তথ্য আপডেট #2 -> বিক্রেতার প্রোফাইল #2 -> Seller Tester #2 -> খামারের তথ্য আপডেট #2 -> বিক্রেতার প্রোফাইল #2 -> Seller Tester #2 -> খামারের তথ্য আপডেট #2,,2026-08-30T15:32:15.417091+00:00
TC-006,Verify farm update screen loads correctly and allows editing of animal types,,failed,NAVIGATION_LIVELOCK,agent,13,13,1,203.5,,খামারের তথ্য আপডেট #2,,2026-08-30T15:36:21.337924+00:00
TC-007,Verify message history ordering and immediate display in chat conversation,,failed,ASSERTION_FAILURE,app,21,19,9,258.1,,খামারের তথ্য আপডেট #2 -> বিক্রেতার প্রোফাইল #2 -> Test Farm Update -> আমার রিভিউ -> Test Farm Update -> সবার খামার #2 -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Trust Dairy Farm -> চ্যাট -> Trust Dairy Farm -> বিক্রেতার প্রোফাইল -> Seller Tester,,2026-08-30T15:40:54.009563+00:00
TC-008,Verify AI Health Check error handling when image selection is cancelled or invalid,,pass,,pass,11,9,3,183.3,,খামারের তথ্য আপডেট -> Trust Dairy Farm -> রোগ শনাক্ত করুন -> Trust Dairy Farm -> রোগ শনাক্ত করুন,,2026-08-30T15:44:23.982424+00:00
TC-009,Verify Favourite state persistence and acknowledgement when adding/removing a product from the marketplace,,failed,NAVIGATION_LIVELOCK,agent,23,23,5,457.6,,রোগ শনাক্ত করুন -> Trust Dairy Farm -> ফিরে যান -> ফিরে যান #2 -> ফিরে যান #3 -> ফিরে যান #2 -> ফিরে যান #3 -> ফিরে যান #2 -> ফিরে যান #3 -> ফিরে যান -> ফিরে যান #2 -> ফিরে যান -> ফিরে যান #2 -> ফিরে যান -> ফিরে যান #2 -> ফিরে যান -> ফিরে যান #2,,2026-08-30T15:52:27.894170+00:00
TC-010,Verify primary navigation bar contains all required tabs and transitions correctly,,pass,,pass,24,22,7,360.6,,ফিরে যান #2 -> ফিরে যান -> বিক্রেতার প্রোফাইল -> দুধ -> ফিরে যান #4 -> বিক্রেতার প্রোফাইল -> সবার খামার #2 -> বিক্রেতার প্রোফাইল -> দুধ -> ফিরে যান #4 -> বিক্রেতার প্রোফাইল -> দুধ -> ফিরে যান #4 -> বিক্রেতার প্রোফাইল -> Seller Tester -> বিক্রেতার প্রোফাইল,,2026-08-30T15:58:48.671759+00:00
